"","grp_code","state","group","emp_rate","unemp_rate"
"415",39,"Idaho","Women, 65 years and over",11.6,7.3
"435",26,"Illinois","Men, 16 to 19 years",25.2,30.8
"436",27,"Illinois","Men, 20 to 24 years",63.1,16
"437",28,"Illinois","Men, 25 to 34 years",82.5,8
"438",29,"Illinois","Men, 35 to 44 years",84.5,8
"439",30,"Illinois","Men, 45 to 54 years",79.9,8.1
"440",31,"Illinois","Men, 55 to 64 years",63.4,8.8
"441",32,"Illinois","Men, 65 years and over",22.9,7.2
"442",33,"Illinois","Women, 16 to 19 years",27.6,25.7
"443",34,"Illinois","Women, 20 to 24 years",55.9,15.6
"444",35,"Illinois","Women, 25 to 34 years",72.7,7.7
"445",36,"Illinois","Women, 35 to 44 years",67.7,8.3
"446",37,"Illinois","Women, 45 to 54 years",73,6.2
"447",38,"Illinois","Women, 55 to 64 years",59.7,4.5
"448",39,"Illinois","Women, 65 years and over",15.9,3.7
"468",26,"Indiana","Men, 16 to 19 years",26.8,25.4
"469",27,"Indiana","Men, 20 to 24 years",68.9,11.8
"470",28,"Indiana","Men, 25 to 34 years",84.6,7.4
"471",29,"Indiana","Men, 35 to 44 years",85.8,5.2
"472",30,"Indiana","Men, 45 to 54 years",77.4,6.9
"473",31,"Indiana","Men, 55 to 64 years",60.8,6
"474",32,"Indiana","Men, 65 years and over",25.1,3.7
"475",33,"Indiana","Women, 16 to 19 years",30.6,18
"476",34,"Indiana","Women, 20 to 24 years",59.4,13.3
"477",35,"Indiana","Women, 25 to 34 years",65.6,9.3
"478",36,"Indiana","Women, 35 to 44 years",70.7,7.7
"479",37,"Indiana","Women, 45 to 54 years",72.4,5.6
"480",38,"Indiana","Women, 55 to 64 years",52.7,4.3
"481",39,"Indiana","Women, 65 years and over",13.8,4.4
"501",26,"Iowa","Men, 16 to 19 years",45.2,12.5
"502",27,"Iowa","Men, 20 to 24 years",69.6,12.1
"503",28,"Iowa","Men, 25 to 34 years",90.2,4.3
"504",29,"Iowa","Men, 35 to 44 years",88.7,3.4
"505",30,"Iowa","Men, 45 to 54 years",86,4
"506",31,"Iowa","Men, 55 to 64 years",76.3,2.3
"507",32,"Iowa","Men, 65 years and over",23.2,6.2
"508",33,"Iowa","Women, 16 to 19 years",48.7,11.5
"509",34,"Iowa","Women, 20 to 24 years",75.8,4.4
"510",35,"Iowa","Women, 25 to 34 years",79.5,3.8
"511",36,"Iowa","Women, 35 to 44 years",81.2,4.3
"512",37,"Iowa","Women, 45 to 54 years",81.1,3.3
"513",38,"Iowa","Women, 55 to 64 years",68.2,3.9
"514",39,"Iowa","Women, 65 years and over",16.1,3.7
"534",26,"Kansas","Men, 16 to 19 years",36.5,22.5
"535",27,"Kansas","Men, 20 to 24 years",68.9,11.5
"536",28,"Kansas","Men, 25 to 34 years",85.9,6.1
"537",29,"Kansas","Men, 35 to 44 years",89.1,2.4
"538",30,"Kansas","Men, 45 to 54 years",85.9,3.9
"539",31,"Kansas","Men, 55 to 64 years",74.4,3.9
"540",32,"Kansas","Men, 65 years and over",26.2,1.3
"541",33,"Kansas","Women, 16 to 19 years",41.4,10.5
"542",34,"Kansas","Women, 20 to 24 years",68.6,8.4
"543",35,"Kansas","Women, 25 to 34 years",75.2,5.2
"544",36,"Kansas","Women, 35 to 44 years",75.9,5.6
"545",37,"Kansas","Women, 45 to 54 years",76.7,3.4
"546",38,"Kansas","Women, 55 to 64 years",64.9,4.6
"547",39,"Kansas","Women, 65 years and over",16.9,5
"567",26,"Kentucky","Men, 16 to 19 years",26,25.3
"568",27,"Kentucky","Men, 20 to 24 years",65.2,15.7
"569",28,"Kentucky","Men, 25 to 34 years",78.2,10.8
"570",29,"Kentucky","Men, 35 to 44 years",81.5,6.9
"571",30,"Kentucky","Men, 45 to 54 years",74.7,6.2
"572",31,"Kentucky","Men, 55 to 64 years",58.3,4
"573",32,"Kentucky","Men, 65 years and over",20.5,6.1
"574",33,"Kentucky","Women, 16 to 19 years",37.4,16.4
"575",34,"Kentucky","Women, 20 to 24 years",59,13.5
"576",35,"Kentucky","Women, 25 to 34 years",66.6,7.4
"577",36,"Kentucky","Women, 35 to 44 years",69.8,6
"578",37,"Kentucky","Women, 45 to 54 years",64.9,7
"579",38,"Kentucky","Women, 55 to 64 years",51.4,3.8
"580",39,"Kentucky","Women, 65 years and over",11.5,3
"599",26,"Louisiana","Men, 16 to 19 years",26.8,14.2
"600",27,"Louisiana","Men, 20 to 24 years",63.8,15.3
"601",28,"Louisiana","Men, 25 to 34 years",77.6,9.7
"602",29,"Louisiana","Men, 35 to 44 years",78,7
"603",30,"Louisiana","Men, 45 to 54 years",76.7,4.4
"604",31,"Louisiana","Men, 55 to 64 years",64.5,3.2
"605",32,"Louisiana","Men, 65 years and over",23.6,2.7
"606",33,"Louisiana","Women, 16 to 19 years",23.2,18.4
